class,mapped,priority,resolved_dish
fish_and_chips,True,priority2_alias,Fried fish and Chips (English Style) (Tali hui machli aur chips)
foie_gras,False,unresolved,Unresolved: foie_gras
french_fries,True,priority2_alias,Dry potato (Sookhe aloo)
french_onion_soup,True,priority3_normalized,French onion soup
french_toast,True,priority2_alias,French omelette/omlet
fried_calamari,True,priority2_alias,Fried fish (Indian style) (Tali hui machli)
fried_rice,True,priority2_alias,Chinese fried rice
frozen_yogurt,True,priority2_alias,Vanilla ice cream without egg
garlic_bread,True,priority2_alias,Cheese toast
gnocchi,True,priority2_alias,Potato parantha/paratha (Aloo ka parantha/paratha)
greek_salad,True,priority2_alias,Tossed green salad
grilled_cheese_sandwich,True,priority2_alias,Cheese toast
grilled_salmon,True,priority2_alias,Tandoori fish
guacamole,False,unresolved,Unresolved: guacamole
gyoza,True,priority2_alias,Spring roll
hamburger,True,priority2_alias,Vegetable burger
hot_and_sour_soup,True,priority3_normalized,Hot and sour soup
hot_dog,False,unresolved,Unresolved: hot_dog
huevos_rancheros,True,priority2_alias,Stuffed egg omelette/omlet
hummus,True,priority2_alias,Chickpeas curry (Safed channa curry)
ice_cream,True,priority2_alias,Vanilla ice cream without egg
idli,True,priority2_alias,Idli
jalebi,True,priority2_alias,Gulab Jamun with khoya
kaathi_rolls,True,priority2_alias,Paneer kaathi roll
kadai_paneer,True,priority2_alias,Pea paneer curry (Matar paneer)
kulfi,True,priority2_alias,Kulfi
lasagna,True,priority2_alias,Macroni cheese pie
lobster_bisque,False,unresolved,Unresolved: lobster_bisque
lobster_roll_sandwich,False,unresolved,Unresolved: lobster_roll_sandwich
macaroni_and_cheese,True,priority4_fuzzy,Macroni cheese pie
macarons,True,priority2_alias,Chickpea flour cookies (Sweet besan rounds/cookies)
masala_dosa,True,priority2_alias,Masala dosa
miso_soup,True,priority2_alias,Clear tomato soup (Tamatar ka soup)
momos,True,priority2_alias,Spring roll
mussels,False,unresolved,Unresolved: mussels
nachos,False,unresolved,Unresolved: nachos
omelette,True,priority2_alias,Plain omelette/omlet
onion_rings,True,priority2_alias,Onion pakora/pakoda (Pyaaz ke pakode)
oysters,False,unresolved,Unresolved: oysters
paani_puri,True,priority2_alias,Bhel puri
pad_thai,True,priority2_alias,Home made plain noodles
paella,True,priority2_alias,Spanish rice
pakode,True,priority2_alias,Mixed vegetable pakora/pakoda
pancakes,True,priority4_fuzzy,Pancake
panna_cotta,True,priority2_alias,Caramel custard (steamed)
pav_bhaji,True,priority2_alias,Pav bhaji
peking_duck,True,priority2_alias,Roast chicken
pho,True,priority2_alias,Chicken consomme (Clear chicken soup)
pizza,True,priority2_alias,Cheese pizza
pork_chop,False,unresolved,Unresolved: pork_chop
poutine,False,unresolved,Unresolved: poutine
prime_rib,False,unresolved,Unresolved: prime_rib
pulled_pork_sandwich,False,unresolved,Unresolved: pulled_pork_sandwich
ramen,True,priority2_alias,Chicken consomme (Clear chicken soup)
ravioli,True,priority2_alias,Macroni cheese pie
red_velvet_cake,True,priority2_alias,Chocolate cake
risotto,True,priority2_alias,Boiled rice (Uble chawal)
samosa,True,priority2_alias,Vegetable samosa
sashimi,False,unresolved,Unresolved: sashimi
scallops,False,unresolved,Unresolved: scallops
seaweed_salad,True,priority2_alias,Tossed green salad
shrimp_and_grits,True,priority2_alias,Prawn curry (with coconut) (Jhinga curry)
spaghetti_bolognese,True,priority3_normalized,Spaghetti bolognese
spaghetti_carbonara,True,priority2_alias,Macroni cheese pie
spring_rolls,True,priority2_alias,Spring roll
steak,False,unresolved,Unresolved: steak
strawberry_shortcake,True,priority2_alias,Plain cream cake
sushi,False,unresolved,Unresolved: sushi
tacos,True,priority2_alias,Paneer kaathi roll
takoyaki,False,unresolved,Unresolved: takoyaki
tiramisu,True,priority2_alias,Chocolate cake
tuna_tartare,False,unresolved,Unresolved: tuna_tartare
waffles,True,priority2_alias,Pancake
